query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.07981613038027581,0.22983702465524447,0.307772670288341,0.07981613038027581,0.06360217300459581,0.051170079398243994
1,+Eyeglasses,2196,0.1429872495446266,0.36475409836065575,0.5,0.1429872495446266,0.10409836065573674,0.08838797814207534
2,-Heavy_Makeup,4087,0.05382921458282359,0.1578174700269146,0.2353804746758013,0.05382921458282359,0.037582578908735065,0.03273794959628053
3,+Male,1595,0.05454545454545454,0.1573667711598746,0.25579937304075234,0.05454545454545454,0.04438871473354248,0.04532915360501574
4,-Young,5355,0.025210084033613446,0.08291316526610644,0.1361344537815126,0.025210084033613446,0.020541549953314808,0.019290382819794442
5,+Blond_Hair,5469,0.04955202047906381,0.16822088133113916,0.24922289266776376,0.04955202047906381,0.04285975498262893,0.037282867068933384
6,+Mustache,301,0.10631229235880399,0.2691029900332226,0.3521594684385382,0.10631229235880399,0.06843853820597998,0.05681063122923584
7,-Young,5355,0.025210084033613446,0.08291316526610644,0.1361344537815126,0.025210084033613446,0.020541549953314808,0.019290382819794442
8,"+Eyeglasses, +Smiling",612,0.13071895424836602,0.3627450980392157,0.5179738562091504,0.13071895424836602,0.09803921568627469,0.08153594771241861
9,"+Black_Hair, -Wavy_Hair",2572,0.048989113530326596,0.16951788491446346,0.2729393468118196,0.048989113530326596,0.04059097978227089,0.03678071539657839
10,"-Male, -Mustache",27,0.0,0.07407407407407407,0.07407407407407407,0.0,0.014814814814814815,0.007407407407407408
11,"+Chubby, -Young",584,0.0017123287671232876,0.015410958904109588,0.032534246575342464,0.0017123287671232876,0.0030821917808219173,0.003938356164383563
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.189873417721519,0.5569620253164557,0.6962025316455697,0.189873417721519,0.1772151898734176,0.13670886075949362
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.011764705882352941,0.008823529411764707
