query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.06769745089845382,0.19139155871291266,0.2615963226076055,0.06769745089845382,0.05098203092352645,0.04114082741328807
1,+Eyeglasses,2196,0.05692167577413479,0.16712204007285975,0.2518214936247723,0.05692167577413479,0.0410746812386159,0.03479052823315124
2,-Heavy_Makeup,4087,0.028872033276241743,0.10741375091754343,0.16858331294347934,0.028872033276241743,0.0240274039637878,0.021287007585025632
3,+Male,1595,0.0438871473354232,0.15172413793103448,0.23761755485893418,0.0438871473354232,0.04188087774294684,0.03905956112852682
4,-Young,5355,0.011017740429505136,0.039775910364145656,0.06965452847805789,0.011017740429505136,0.009859943977591058,0.0094304388422036
5,+Blond_Hair,5469,0.03839824465167307,0.12634850978240994,0.19381971109892118,0.03839824465167307,0.03375388553666104,0.030170049369171278
6,+Mustache,301,0.09634551495016612,0.18272425249169436,0.25249169435215946,0.09634551495016612,0.049833887043189334,0.0395348837209302
7,-Young,5355,0.011017740429505136,0.039775910364145656,0.06965452847805789,0.011017740429505136,0.009859943977591058,0.0094304388422036
8,"+Eyeglasses, +Smiling",612,0.05228758169934641,0.16993464052287582,0.2581699346405229,0.05228758169934641,0.03954248366013065,0.0323529411764706
9,"+Black_Hair, -Wavy_Hair",2572,0.038880248833592534,0.12791601866251945,0.21073094867807154,0.038880248833592534,0.030326594090202327,0.028654743390357767
10,"-Male, -Mustache",27,0.0,0.07407407407407407,0.07407407407407407,0.0,0.014814814814814815,0.011111111111111113
11,"+Chubby, -Young",584,0.0136986301369863,0.02054794520547945,0.04280821917808219,0.0136986301369863,0.004452054794520548,0.0051369863013698645
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.08860759493670886,0.22784810126582278,0.24050632911392406,0.08860759493670886,0.05316455696202533,0.03544303797468355
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.058823529411764705,0.058823529411764705,0.0,0.011764705882352941,0.008823529411764707
