query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.06790639364814041,0.19160050146259924,0.2620142081069787,0.06790639364814041,0.051065608023401085,0.04118261596322538
1,+Eyeglasses,2196,0.056466302367941715,0.16438979963570127,0.2509107468123862,0.056466302367941715,0.040528233151184194,0.03469945355191263
2,-Heavy_Makeup,4087,0.028872033276241743,0.10741375091754343,0.16858331294347934,0.028872033276241743,0.0240274039637878,0.021287007585025632
3,+Male,1595,0.0438871473354232,0.15297805642633228,0.2394984326018809,0.0438871473354232,0.04238244514106597,0.039247648902821494
4,-Young,5355,0.011017740429505136,0.039589169000933705,0.06984126984126984,0.011017740429505136,0.009822595704948667,0.0094304388422036
5,+Blond_Hair,5469,0.03821539586761748,0.12616566099835436,0.19345401353081002,0.03821539586761748,0.03375388553666104,0.03009690985554905
6,+Mustache,301,0.09634551495016612,0.18272425249169436,0.24916943521594684,0.09634551495016612,0.049833887043189334,0.03920265780730894
7,-Young,5355,0.011017740429505136,0.039589169000933705,0.06984126984126984,0.011017740429505136,0.009822595704948667,0.0094304388422036
8,"+Eyeglasses, +Smiling",612,0.049019607843137254,0.18627450980392157,0.2679738562091503,0.049019607843137254,0.043790849673202535,0.034150326797385624
9,"+Black_Hair, -Wavy_Hair",2572,0.038102643856920686,0.12597200622083982,0.20334370139968896,0.038102643856920686,0.02954898911353048,0.027021772939346905
10,"-Male, -Mustache",27,0.0,0.07407407407407407,0.07407407407407407,0.0,0.014814814814814815,0.011111111111111113
11,"+Chubby, -Young",584,0.0136986301369863,0.030821917808219176,0.04965753424657534,0.0136986301369863,0.006849315068493152,0.00599315068493151
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.11392405063291139,0.27848101265822783,0.43037974683544306,0.11392405063291139,0.0708860759493671,0.06455696202531644
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.029411764705882353,0.08823529411764706,0.0,0.0058823529411764705,0.008823529411764707
