system,method,formula,query_entries,source_query_cases,macro_Recall@1,macro_Recall@5,macro_Recall@10,macro_Precision@1,macro_Precision@5,macro_Precision@10,micro_Recall@1,micro_Recall@5,micro_Recall@10,micro_Precision@1,micro_Precision@5,micro_Precision@10
Assignment baseline,direct_sum,q = normalize(source + sum(signed positive text embeddings)),14,33052,0.023966709267386106,0.07182740338778983,0.10842420927025993,0.023966709267386106,0.01756813074795618,0.014712034387125808,0.02571705191818952,0.08147767154786398,0.12477308483601597,0.02571705191818952,0.02026503691153333,0.017681229577635148
Strong CLIP baseline,contrastive_sequential,q_i = normalize(q_{i-1} + signed contrastive text direction_i),14,33052,0.04063589144393276,0.12380958180888223,0.18707577909100628,0.04063589144393276,0.03100069205188604,0.026976108966972733,0.03446084957037396,0.10949413046109162,0.1665254750090766,0.03446084957037396,0.027792569284763365,0.024183105409657367
Final best system,model_plus_generic_delta_beta_1p50,q_final = normalize(q_model + 1.5 * (q_generic_sum - source)),14,33052,0.07119904197227186,0.20946218767245553,0.3049983318858148,0.07119904197227186,0.05737769415966078,0.048721152844590436,0.05327968050344911,0.16882488200411472,0.25117995885271693,0.05327968050344911,0.044124410020573525,0.03856045019968488
