system,method,micro_Recall@1,micro_Recall@5,micro_Recall@10,micro_Precision@1,micro_Precision@5,micro_Precision@10
Assignment baseline,direct_sum,0.0257170519181895,0.0814776715478639,0.1247730848360159,0.0257170519181895,0.0202650369115333,0.0176812295776351
Strong CLIP baseline,contrastive_sequential,0.0344608495703739,0.1094941304610916,0.1665254750090766,0.0344608495703739,0.0277925692847633,0.0241831054096573
Final best system,model_plus_generic_delta_beta_1p50,0.0668945903424906,0.2095788454556456,0.3136572673363185,0.0668945903424906,0.0552825850175477,0.0492738714752506
