system,method,macro_Recall@1,macro_Recall@5,macro_Recall@10,macro_Precision@1,macro_Precision@5,macro_Precision@10
Assignment baseline,direct_sum,0.0239667092673861,0.0718274033877898,0.1084242092702599,0.0239667092673861,0.0175681307479561,0.0147120343871258
Strong CLIP baseline,contrastive_sequential,0.0406358914439327,0.1238095818088822,0.1870757790910062,0.0406358914439327,0.031000692051886,0.0269761089669727
Final best system,model_plus_generic_delta_beta_1p50,0.0864182295365766,0.263709642625013,0.3914723202994217,0.0864182295365766,0.07271335989033,0.0628853882537901
