top_pool,method,source_query_cases,avg_kept,raw_pool_hit_rate,valid_in_returned_top10_avg,Accuracy@1,Recall@1,Precision@1,Accuracy@5,Recall@5,Precision@5,Accuracy@10,Recall@10,Precision@10
100,best_no_filter,33052.0,10.0,0.7824337407721167,0.5208761950865303,0.07058574367663076,0.07058574367663076,0.07058574367663076,0.21986566622292145,0.21986566622292145,0.0583141716083811,0.32839162531768123,0.32839162531768123,0.052087619508648327
100,oracle_hamming_only,33052.0,6.534642381701561,0.7824337407721167,2.4479910444148616,0.4727399249667191,0.4727399249667191,0.4727399249667191,0.73323853322038,0.73323853322038,0.34714389446933996,0.7729335592399855,0.7729335592399855,0.2447991044415028
100,oracle_query_and_hamming,33052.0,3.032796805034491,0.7824337407721167,2.7738714752511195,0.7824337407721167,0.7824337407721167,0.7824337407721167,0.7824337407721167,0.7824337407721167,0.45336439549801927,0.7824337407721167,0.7824337407721167,0.2773871475251357
100,oracle_query_only,33052.0,65.45234781556336,0.7824337407721167,0.7327544475372141,0.10280769696236233,0.10280769696236233,0.10280769696236233,0.2977732058574368,0.2977732058574368,0.08341401428052557,0.4240288030981484,0.4240288030981484,0.0732754447537108
100,probe_hamming_only,33052.0,21.210183952559603,0.7824337407721167,0.5552765339465086,0.07914800919762797,0.07914800919762797,0.07914800919762797,0.2375045383032797,0.2375045383032797,0.06432893622171676,0.33501754810601475,0.33501754810601475,0.055527653394645354
100,probe_query_and_hamming,33052.0,11.444814232119086,0.7824337407721167,0.5708580418734116,0.09028197991044415,0.09028197991044415,0.09028197991044415,0.25190608737746584,0.25190608737746584,0.07108798257291699,0.3233994917100327,0.3233994917100327,0.05708580418733615
100,probe_query_and_hamming_fill,33052.0,11.444814232119086,0.7824337407721167,0.6930896768728065,0.09433619750695874,0.09433619750695874,0.09433619750695874,0.28403727459760375,0.28403727459760375,0.07946266489168437,0.3988563475735205,0.3988563475735205,0.06930896768727059
100,probe_query_only,33052.0,69.11391141231998,0.7824337407721167,0.5612065835652911,0.07578966477066441,0.07578966477066441,0.07578966477066441,0.23381338496913953,0.23381338496913953,0.06299770059301128,0.3445782403485417,0.3445782403485417,0.05612065835652383
200,best_no_filter,33052.0,10.0,0.8862701198112066,0.5208761950865303,0.07058574367663076,0.07058574367663076,0.07058574367663076,0.21986566622292145,0.21986566622292145,0.0583141716083811,0.32839162531768123,0.32839162531768123,0.052087619508648327
200,oracle_hamming_only,33052.0,10.877193513251845,0.8862701198112066,3.2323913832748397,0.500695873169551,0.500695873169551,0.500695873169551,0.8123260317076122,0.8123260317076122,0.41506716688855344,0.8691153334140143,0.8691153334140143,0.3232391383275123
200,oracle_query_and_hamming,33052.0,4.930170640203316,0.8862701198112066,4.033250635362459,0.8862701198112066,0.8862701198112066,0.8862701198112066,0.8862701198112066,0.8862701198112066,0.6046109161321747,0.8862701198112066,0.8862701198112066,0.4033250635362705
200,oracle_query_only,33052.0,128.7654302311509,0.8862701198112066,0.7327544475372141,0.10280769696236233,0.10280769696236233,0.10280769696236233,0.2977732058574368,0.2977732058574368,0.08341401428052557,0.4240288030981484,0.4240288030981484,0.0732754447537108
200,probe_hamming_only,33052.0,36.39779741014159,0.8862701198112066,0.5738533220380008,0.07935979668401306,0.07935979668401306,0.07935979668401306,0.2407116059542539,0.2407116059542539,0.06513977974101923,0.3470894348299649,0.3470894348299649,0.057385332203793764
200,probe_query_and_hamming,33052.0,18.581870991165438,0.8862701198112066,0.6167251603533825,0.09109887450078664,0.09109887450078664,0.09109887450078664,0.262798015248699,0.262798015248699,0.0739259348904766,0.3494190971802009,0.3494190971802009,0.061672516035332005
200,probe_query_and_hamming_fill,33052.0,18.581870991165438,0.8862701198112066,0.7084896526685224,0.09442696357255234,0.09442696357255234,0.09442696357255234,0.28606438339586104,0.28606438339586104,0.08000726128524585,0.40738835773931986,0.40738835773931986,0.07084896526684165
200,probe_query_only,33052.0,134.93864213965873,0.8862701198112066,0.5612065835652911,0.07578966477066441,0.07578966477066441,0.07578966477066441,0.23381338496913953,0.23381338496913953,0.06299770059301128,0.3445782403485417,0.3445782403485417,0.05612065835652383
500,best_no_filter,33052.0,10.0,0.9647827665496793,0.5208761950865303,0.07058574367663076,0.07058574367663076,0.07058574367663076,0.21986566622292145,0.21986566622292145,0.0583141716083811,0.32839162531768123,0.32839162531768123,0.052087619508648327
500,oracle_hamming_only,33052.0,21.079450562749606,0.9647827665496793,4.013796441970229,0.5157630400580903,0.5157630400580903,0.5157630400580903,0.8614607285489532,0.8614607285489532,0.4702226794142604,0.9349207309693816,0.9349207309693816,0.4013796441970349
500,oracle_query_and_hamming,33052.0,8.809905603291783,0.9647827665496793,5.789362217112429,0.9647827665496793,0.9647827665496793,0.9647827665496793,0.9647827665496793,0.9647827665496793,0.7843882367178783,0.9647827665496793,0.9647827665496793,0.5789362217112516
500,oracle_query_only,33052.0,309.1933619750696,0.9647827665496793,0.7327544475372141,0.10280769696236233,0.10280769696236233,0.10280769696236233,0.2977732058574368,0.2977732058574368,0.08341401428052557,0.4240288030981484,0.4240288030981484,0.0732754447537108
500,probe_hamming_only,33052.0,71.78945298317802,0.9647827665496793,0.5812961394166768,0.0794203073944088,0.0794203073944088,0.0794203073944088,0.24198233087256443,0.24198233087256443,0.06542418007987907,0.3522025898584049,0.3522025898584049,0.058129613941661044
500,probe_query_and_hamming,33052.0,32.70156117632821,0.9647827665496793,0.6426842551131551,0.09173423695994191,0.09173423695994191,0.09173423695994191,0.26821372382911773,0.26821372382911773,0.07523901730606362,0.36490983904151036,0.36490983904151036,0.06426842551130811
500,probe_query_and_hamming_fill,33052.0,32.70156117632821,0.9647827665496793,0.7119085078058817,0.09430594215176086,0.09430594215176086,0.09430594215176086,0.285852595909476,0.285852595909476,0.0799164952196523,0.4088406147888176,0.4088406147888176,0.07119085078057748
500,probe_query_only,33052.0,320.75720077453707,0.9647827665496793,0.5612065835652911,0.07578966477066441,0.07578966477066441,0.07578966477066441,0.23381338496913953,0.23381338496913953,0.06299770059301128,0.3445782403485417,0.3445782403485417,0.05612065835652383
