source,config_id,run_dir,status,sampler_mode,composer_type,condition_mode,prompt_cache_path,gate_state,learning_rate,lambda_source,residual_scale,edit_scale,gate_max,dropout,batch_size,temperature,best_val_official_like@10,best_val_exact_R@10,best_val_attr_success@10,best_epoch,best_step,val_mean_rank_B
hpsearch,seqp2_ov004,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260620_012402_long/gate_v3_sequentialgate_seqp2_ov004_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,data/celeba/embeddings/openai_clip_vit_b32/signed_attribute_prompt_embeddings_v2_photo_templates.pt,source,0.0001,0.02,0.02,1.0,1.5,0.1,256,0.03,0.814208984375,0.607666015625,0.91552734375,8,16000,52.159423828125
hpsearch,seq_l007,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l007_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,,current,0.0001,0.02,0.02,1.0,1.5,0.1,256,0.03,0.8134765625,0.608642578125,0.91455078125,8,16000,52.79833984375
hpsearch,seqp2_ov012,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260620_012402_long/gate_v3_sequentialgate_seqp2_ov012_balanced_length_b256_lr0.0001_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,data/celeba/embeddings/openai_clip_vit_b32/signed_attribute_prompt_embeddings_v2_photo_templates.pt,current,0.0001,0.02,0.02,1.25,1.5,0.1,256,0.03,0.813232421875,0.60595703125,0.915283203125,8,16000,52.90771484375
hpsearch,seqp2_ov008,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260620_012402_long/gate_v3_sequentialgate_seqp2_ov008_balanced_length_b256_lr0.0001_src0.05_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,data/celeba/embeddings/openai_clip_vit_b32/signed_attribute_prompt_embeddings_v2_photo_templates.pt,current,0.0001,0.05,0.02,1.0,1.5,0.1,256,0.03,0.811767578125,0.607666015625,0.913330078125,8,16000,51.9248046875
hpsearch,seqp2_ov010,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260620_012402_long/gate_v3_sequentialgate_seqp2_ov010_balanced_length_b256_lr0.0001_src0.02_scale0.05_long,complete,balanced_length,sequential_gate,signed_direction,data/celeba/embeddings/openai_clip_vit_b32/signed_attribute_prompt_embeddings_v2_photo_templates.pt,current,0.0001,0.02,0.05,1.0,1.5,0.1,256,0.03,0.811279296875,0.606201171875,0.916259765625,8,16000,52.8203125
hpsearch,seq_l005,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l005_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,,current,0.0003,0.02,0.02,1.0,1.0,0.1,256,0.03,0.80517578125,0.605712890625,0.908203125,2,4000,51.185546875
hpsearch,seqp2_ov003,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260620_012402_long/gate_v3_sequentialgate_seqp2_ov003_balanced_length_b256_lr0.0002_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,data/celeba/embeddings/openai_clip_vit_b32/signed_attribute_prompt_embeddings_v2_photo_templates.pt,current,0.0002,0.02,0.02,1.0,1.5,0.1,256,0.03,0.804931640625,0.597412109375,0.912109375,8,16000,59.168701171875
hpsearch,seq_l006,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l006_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,,current,0.0003,0.02,0.02,1.0,2.0,0.1,256,0.03,0.8037109375,0.60302734375,0.905517578125,2,4000,52.318603515625
hpsearch,seq_l003,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l003_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,,current,0.0003,0.02,0.02,0.75,1.5,0.1,256,0.03,0.802978515625,0.606689453125,0.902587890625,2,4000,51.84814453125
hpsearch,seq_l001,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154402_long/gate_v3_sequentialgate_seq_l001_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,sequential_gate,signed_direction,,current,0.0003,0.02,0.02,1.0,1.5,0.1,256,0.03,0.802734375,0.603515625,0.905029296875,2,4000,52.473876953125
