query_id,query,sources,avg_kept_in_pool,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,23.481821980777266,0.08754701211867948,0.24153781863769327,0.3545758462181362,0.08754701211867948,0.06535729210196298,0.056310071040534065
1,+Eyeglasses,2196,48.14799635701275,0.19808743169398907,0.5268670309653917,0.691712204007286,0.19808743169398907,0.1707650273224021,0.1540528233151183
2,-Heavy_Makeup,4087,29.144360166381208,0.06581844873990703,0.21923171030095426,0.3290922436995351,0.06581844873990703,0.0524100807438213,0.04641546366527921
3,+Male,1595,87.26771159874608,0.12852664576802508,0.3554858934169279,0.5040752351097179,0.12852664576802508,0.11285266457680233,0.10833855799372974
4,-Young,5355,24.42782446311858,0.07264239028944912,0.2242763772175537,0.3277310924369748,0.07264239028944912,0.06065359477124079,0.053986928104574575
5,+Blond_Hair,5469,45.228195282501375,0.09288718230023771,0.2909124154324374,0.43079173523496067,0.09288718230023771,0.07924666300968915,0.07085390382154048
6,+Mustache,301,15.843853820598007,0.12292358803986711,0.36212624584717606,0.4717607973421927,0.12292358803986711,0.0910299003322258,0.06611295681063124
7,-Young,5355,24.42782446311858,0.07264239028944912,0.2242763772175537,0.3277310924369748,0.07264239028944912,0.06065359477124079,0.053986928104574575
8,"+Eyeglasses, +Smiling",612,12.416666666666666,0.21241830065359477,0.5735294117647058,0.7271241830065359,0.21241830065359477,0.18333333333333415,0.16176470588235287
9,"+Black_Hair, -Wavy_Hair",2572,42.121695178849144,0.08398133748055987,0.2846034214618974,0.427293934681182,0.08398133748055987,0.07255054432348333,0.06512441679626664
10,"-Male, -Mustache",27,18.555555555555557,0.037037037037037035,0.25925925925925924,0.37037037037037035,0.037037037037037035,0.06666666666666667,0.05925925925925928
11,"+Chubby, -Young",584,8.455479452054794,0.2756849315068493,0.5993150684931506,0.684931506849315,0.2756849315068493,0.14178082191780897,0.09092465753424706
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,4.734177215189874,0.21518987341772153,0.6835443037974683,0.8481012658227848,0.21518987341772153,0.22531645569620237,0.19620253164556947
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,5.705882352941177,0.058823529411764705,0.14705882352941177,0.20588235294117646,0.058823529411764705,0.041176470588235294,0.026470588235294114
