query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.06790639364814041,0.19139155871291266,0.2618052653572921,0.06790639364814041,0.05098203092352645,0.041119933138319416
1,+Eyeglasses,2196,0.05692167577413479,0.16757741347905283,0.2518214936247723,0.05692167577413479,0.04116575591985452,0.03474499089253194
2,-Heavy_Makeup,4087,0.029116711524345487,0.10765842916564718,0.1678492781991681,0.029116711524345487,0.02407633961340855,0.02121360411059451
3,+Male,1595,0.0438871473354232,0.15172413793103448,0.23824451410658307,0.0438871473354232,0.04188087774294683,0.038934169278997045
4,-Young,5355,0.011017740429505136,0.039775910364145656,0.06984126984126984,0.011017740429505136,0.009822595704948667,0.009449112978524795
5,+Blond_Hair,5469,0.03839824465167307,0.12616566099835436,0.19400255988297677,0.03839824465167307,0.03379045529347216,0.03015176449076572
6,+Mustache,301,0.09634551495016612,0.18272425249169436,0.25249169435215946,0.09634551495016612,0.049833887043189334,0.0395348837209302
7,-Young,5355,0.011017740429505136,0.039775910364145656,0.06984126984126984,0.011017740429505136,0.009822595704948667,0.009449112978524795
8,"+Eyeglasses, +Smiling",612,0.032679738562091505,0.0915032679738562,0.15522875816993464,0.032679738562091505,0.02026143790849672,0.018137254901960758
9,"+Black_Hair, -Wavy_Hair",2572,0.03732503888024884,0.1290824261275272,0.2025660964230171,0.03732503888024884,0.030248833592535145,0.02698289269051331
10,"-Male, -Mustache",27,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.014814814814814815,0.014814814814814815
11,"+Chubby, -Young",584,0.00684931506849315,0.018835616438356163,0.039383561643835614,0.00684931506849315,0.0037671232876712326,0.004280821917808221
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.012658227848101266,0.11392405063291139,0.12658227848101267,0.012658227848101266,0.022784810126582275,0.012658227848101264
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.017647058823529415,0.008823529411764707
