query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.06769745089845382,0.19139155871291266,0.2615963226076055,0.06769745089845382,0.05098203092352645,0.04114082741328807
1,+Eyeglasses,2196,0.05692167577413479,0.16712204007285975,0.2518214936247723,0.05692167577413479,0.0410746812386159,0.03479052823315124
2,-Heavy_Makeup,4087,0.028872033276241743,0.10741375091754343,0.16858331294347934,0.028872033276241743,0.0240274039637878,0.021287007585025632
3,+Male,1595,0.0438871473354232,0.15172413793103448,0.23761755485893418,0.0438871473354232,0.04188087774294684,0.03905956112852682
4,-Young,5355,0.011017740429505136,0.039775910364145656,0.06965452847805789,0.011017740429505136,0.009859943977591058,0.0094304388422036
5,+Blond_Hair,5469,0.03839824465167307,0.12634850978240994,0.19381971109892118,0.03839824465167307,0.03375388553666104,0.030170049369171278
6,+Mustache,301,0.09634551495016612,0.18272425249169436,0.25249169435215946,0.09634551495016612,0.049833887043189334,0.0395348837209302
7,-Young,5355,0.011017740429505136,0.039775910364145656,0.06965452847805789,0.011017740429505136,0.009859943977591058,0.0094304388422036
8,"+Eyeglasses, +Smiling",612,0.049019607843137254,0.18790849673202614,0.27124183006535946,0.049019607843137254,0.04444444444444436,0.03447712418300654
9,"+Black_Hair, -Wavy_Hair",2572,0.038102643856920686,0.12636080870917574,0.20023328149300154,0.038102643856920686,0.02986003110419923,0.02659409020217739
10,"-Male, -Mustache",27,0.0,0.07407407407407407,0.07407407407407407,0.0,0.014814814814814815,0.011111111111111113
11,"+Chubby, -Young",584,0.0136986301369863,0.030821917808219176,0.04965753424657534,0.0136986301369863,0.006849315068493152,0.00599315068493151
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.11392405063291139,0.27848101265822783,0.43037974683544306,0.11392405063291139,0.0708860759493671,0.06582278481012657
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.029411764705882353,0.08823529411764706,0.0,0.0058823529411764705,0.008823529411764707
