objective,macro_accuracy,macro_balanced_accuracy,macro_precision,macro_recall,macro_f1,micro_accuracy
f1,0.9005688428878784,0.8432718515396118,0.6865765452384949,0.7827802896499634,0.7280132174491882,0.9005687832832336
balanced_accuracy,0.8636645078659058,0.8774363398551941,0.5708913207054138,0.895452618598938,0.6703463792800903,0.8636646270751953
accuracy,0.9138520359992981,0.800174355506897,0.7663361430168152,0.6517434120178223,0.6911441683769226,0.9138520956039429
precision_recall_mid,0.9089420437812805,0.8283721208572388,0.7181190848350525,0.7261239886283875,0.7218955159187317,0.9089419841766357
