objective,attribute,threshold,score,accuracy,precision,recall,balanced_accuracy,f1,positive_rate
f1,5_o_Clock_Shadow,0.8500000238418579,0.7286463975906372,0.9349172115325928,0.7173553705215454,0.7402985095977783,0.8506309390068054,0.7286463975906372,0.11803492903709412
f1,Arched_Eyebrows,0.5999999642372131,0.7086520791053772,0.827452540397644,0.6286188364028931,0.8120374083518982,0.8224308490753174,0.7086520791053772,0.258418470621109
f1,Attractive,0.4000000059604645,0.8261182904243469,0.805909276008606,0.7733873724937439,0.8865659832954407,0.8025383949279785,0.8261182904243469,0.5200583934783936
f1,Bags_Under_Eyes,0.574999988079071,0.5967010259628296,0.8030905723571777,0.5187309384346008,0.7022567391395569,0.7658686637878418,0.5967010259628296,0.2074294090270996
f1,Bald,0.8999999761581421,0.7694146037101746,0.9902853965759277,0.7558685541152954,0.7834550142288208,0.8890547752380371,0.7694146037101746,0.02068757265806198
f1,Bangs,0.7999999523162842,0.8273308277130127,0.948356568813324,0.8120251297950745,0.8432247042655945,0.9048296809196472,0.8273308277130127,0.14672572910785675
f1,Big_Lips,0.625,0.4542625844478607,0.7792822122573853,0.3656581938266754,0.5995400547981262,0.7056726217269897,0.4542625844478607,0.15321891009807587
f1,Big_Nose,0.574999988079071,0.6596992611885071,0.8131574988365173,0.60318523645401,0.7278980612754822,0.7846472263336182,0.6596992611885071,0.24880455434322357
f1,Black_Hair,0.7249999642372131,0.7676791548728943,0.9002869129180908,0.7467488050460815,0.7898166179656982,0.8596097230911255,0.7676791548728943,0.20858711004257202
f1,Blond_Hair,0.824999988079071,0.840122401714325,0.9500176310539246,0.8269413709640503,0.8537303805351257,0.9106258153915405,0.840122401714325,0.15382292866706848
f1,Blurry,0.8999999761581421,0.5988024473190308,0.9595308899879456,0.5639097690582275,0.6382978558540344,0.8068913221359253,0.5988024473190308,0.04731464385986328
f1,Brown_Hair,0.5999999642372131,0.682340145111084,0.8231741189956665,0.6021385192871094,0.7871896624565125,0.8109027743339539,0.682340145111084,0.24125434458255768
f1,Bushy_Eyebrows,0.7999999523162842,0.7022332549095154,0.915437638759613,0.7047314047813416,0.6997527480125427,0.8255162239074707,0.7022332549095154,0.14249761402606964
f1,Chubby,0.8500000238418579,0.6314606666564941,0.9504706263542175,0.5797799229621887,0.6932565569877625,0.8302484750747681,0.6314606666564941,0.06120702624320984
f1,Double_Chin,0.8999999761581421,0.6116360425949097,0.960688591003418,0.5936293601989746,0.6307692527770996,0.8042423725128174,0.6116360425949097,0.04907635599374771
f1,Eyeglasses,0.8500000238418579,0.9719828367233276,0.9960739016532898,0.9657387733459473,0.9783080220222473,0.9878555536270142,0.9719828367233276,0.06961292773485184
f1,Goatee,0.8999999761581421,0.7742568254470825,0.965218722820282,0.7420162558555603,0.8094262480735779,0.8935192823410034,0.7742568254470825,0.07369004189968109
f1,Gray_Hair,0.8999999761581421,0.7835051417350769,0.9778023958206177,0.745794415473938,0.8252326846122742,0.9054205417633057,0.7835051417350769,0.04867367818951607
f1,Heavy_Makeup,0.550000011920929,0.8934085965156555,0.9134746193885803,0.8600764274597168,0.9294284582138062,0.9163484573364258,0.8934085965156555,0.3901444673538208
f1,High_Cheekbones,0.550000011920929,0.8526638150215149,0.867065966129303,0.849205493927002,0.8561505675315857,0.8660608530044556,0.8526638150215149,0.4492877721786499
