aggregation,metric,method,score,rank,absolute_delta_vs_direct_sum,relative_change_vs_direct_sum_pct
macro,Recall@1,Direct sum,0.0239667092673861,5,0.0,0.0
macro,Recall@1,Direct sequential,0.0280702691117029,4,0.0041035598443168,17.121916065051636
macro,Recall@1,Contrastive sum,0.0391165430965526,3,0.015149833829166504,63.21198984869567
macro,Recall@1,Contrastive sequential,0.0406358914439327,1,0.016669182176546598,69.55140144846679
macro,Recall@1,Adaptive tangent sequential,0.0406052286267497,2,0.016638519359363602,69.42346224396063
macro,Recall@5,Direct sum,0.0718274033877898,5,0.0,0.0
macro,Recall@5,Direct sequential,0.0732718277811792,4,0.001444424393389404,2.010965627688202
macro,Recall@5,Contrastive sum,0.1203871699842344,3,0.048559766596444606,67.60618413876766
macro,Recall@5,Contrastive sequential,0.1238095818088822,1,0.0519821784210924,72.37095588774832
macro,Recall@5,Adaptive tangent sequential,0.1235346889432326,2,0.05170728555544281,71.98824281072747
macro,Recall@10,Direct sum,0.1084242092702599,5,0.0,0.0
macro,Recall@10,Direct sequential,0.1120602207326044,4,0.0036360114623444906,3.3535051690174753
macro,Recall@10,Contrastive sum,0.170739441538459,3,0.062315232268199086,57.473540907152156
macro,Recall@10,Contrastive sequential,0.1870757790910062,1,0.0786515698207463,72.54059803627264
macro,Recall@10,Adaptive tangent sequential,0.1869269211269,2,0.07850271185664008,72.40330585299726
macro,Precision@1,Direct sum,0.0239667092673861,5,0.0,0.0
macro,Precision@1,Direct sequential,0.0280702691117029,4,0.0041035598443168,17.121916065051636
macro,Precision@1,Contrastive sum,0.0391165430965526,3,0.015149833829166504,63.21198984869567
macro,Precision@1,Contrastive sequential,0.0406358914439327,1,0.016669182176546598,69.55140144846679
macro,Precision@1,Adaptive tangent sequential,0.0406052286267497,2,0.016638519359363602,69.42346224396063
macro,Precision@5,Direct sum,0.0175681307479561,5,0.0,0.0
macro,Precision@5,Direct sequential,0.0179070045179915,4,0.0003388737700354,1.9289119309111753
macro,Precision@5,Contrastive sum,0.0296669903291397,3,0.012098859581183598,68.86822368732197
macro,Precision@5,Contrastive sequential,0.031000692051886,1,0.013432561303929898,76.45982089183084
macro,Precision@5,Adaptive tangent sequential,0.0309292179878408,2,0.0133610872398847,76.05298156970483
macro,Precision@10,Direct sum,0.0147120343871258,5,0.0,0.0
macro,Precision@10,Direct sequential,0.0152957059322563,4,0.0005836715451304989,3.9673068303949717
macro,Precision@10,Contrastive sum,0.0247404346071612,3,0.010028400220035398,68.16460562932781
macro,Precision@10,Contrastive sequential,0.0269761089669727,1,0.012264074579846898,83.36083411128334
macro,Precision@10,Adaptive tangent sequential,0.0268738588800076,2,0.012161824492881798,82.66582426917356
micro,Recall@1,Direct sum,0.0257170519181895,5,0.0,0.0
micro,Recall@1,Direct sequential,0.0260196054701682,4,0.0003025535519786994,1.1764705882352917
micro,Recall@1,Contrastive sum,0.0345213602807696,1,0.008804308362580102,34.235294117646795
micro,Recall@1,Contrastive sequential,0.0344608495703739,2,0.008743797652184401,33.999999999999886
micro,Recall@1,Adaptive tangent sequential,0.034430594215176,3,0.008713542296986496,33.88235294117622
micro,Recall@5,Direct sum,0.0814776715478639,5,0.0,0.0
micro,Recall@5,Direct sequential,0.0827483964661745,4,0.001270724918310609,1.5595989602674447
micro,Recall@5,Contrastive sum,0.1090100447779257,3,0.027532373230061802,33.79131080579293
micro,Recall@5,Contrastive sequential,0.1094941304610916,1,0.02801645891322771,34.38544374303762
micro,Recall@5,Adaptive tangent sequential,0.1092520876195086,2,0.0277744160716447,34.08837727441521
micro,Recall@10,Direct sum,0.1247730848360159,5,0.0,0.0
micro,Recall@10,Direct sequential,0.1263463633063052,4,0.001573278470289291,1.2609117361785083
micro,Recall@10,Contrastive sum,0.1664952196538787,3,0.0417221348178628,33.43840931134825
micro,Recall@10,Contrastive sequential,0.1665254750090766,2,0.041752390173060705,33.4626576139671
micro,Recall@10,Adaptive tangent sequential,0.1667675178506595,1,0.04199443301464359,33.65664403491757
micro,Precision@1,Direct sum,0.0257170519181895,5,0.0,0.0
micro,Precision@1,Direct sequential,0.0260196054701682,4,0.0003025535519786994,1.1764705882352917
micro,Precision@1,Contrastive sum,0.0345213602807696,1,0.008804308362580102,34.235294117646795
micro,Precision@1,Contrastive sequential,0.0344608495703739,2,0.008743797652184401,33.999999999999886
micro,Precision@1,Adaptive tangent sequential,0.034430594215176,3,0.008713542296986496,33.88235294117622
micro,Precision@5,Direct sum,0.0202650369115333,5,0.0,0.0
micro,Precision@5,Direct sequential,0.0205736415345516,4,0.00030860462301830066,1.522842639594042
micro,Precision@5,Contrastive sum,0.0276594457218927,3,0.007394408810359399,36.48850403105395
micro,Precision@5,Contrastive sequential,0.0277925692847633,1,0.007527532373229999,37.14541654225118
micro,Precision@5,Adaptive tangent sequential,0.0277441607164467,2,0.0074791238049134005,36.90653926545211
micro,Precision@10,Direct sum,0.0176812295776351,5,0.0,0.0
micro,Precision@10,Direct sequential,0.0178627617088223,4,0.0001815321311872016,1.0266940451744415
micro,Precision@10,Contrastive sum,0.024216386300375,1,0.0065351567227398995,36.960985626283524
micro,Precision@10,Contrastive sequential,0.0241831054096573,3,0.006501875832022202,36.77275838466796
micro,Precision@10,Adaptive tangent sequential,0.024201258622776,2,0.0065200290451409015,36.87542778918528
