method,query_entries,source_query_cases,macro_Recall@1,macro_Recall@5,macro_Recall@10,macro_Precision@1,macro_Precision@5,macro_Precision@10,micro_Recall@1,micro_Recall@5,micro_Recall@10,micro_Precision@1,micro_Precision@5,micro_Precision@10,checkpoint
Blend model_plus_tuned_delta_100,14,33052,0.0599726760713448,0.196023227048835,0.2758245537025443,0.0599726760713448,0.0535437571223774,0.0456836287921132,0.0497095485901004,0.1554520150066561,0.2329057243132034,0.0497095485901004,0.040324337407721,0.0352989229093546,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend rrf_model_generic,14,33052,0.0469254500667415,0.1389645072271076,0.2010749818604337,0.0469254500667415,0.0349801988299163,0.0295197237069065,0.0408447295171245,0.125922788333535,0.1877949897131792,0.0408447295171245,0.0325003025535519,0.0279014885634755,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend rrf_model_tuned,14,33052,0.0441655442932165,0.1386001206227786,0.2009349649551255,0.0441655442932165,0.0347570258802853,0.0291301513771133,0.0422667312114244,0.1314292629795473,0.1981120658356529,0.0422667312114244,0.0337105167614667,0.0292418007987411,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend score_fusion_generic_25sum,14,33052,0.0473021741380502,0.1438955486439853,0.2078659630320691,0.0473021741380502,0.0362184609665751,0.0313753265225663,0.0408144741619266,0.1296744523780709,0.1941486143047319,0.0408144741619266,0.0333292992859734,0.0293749243616117,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend score_fusion_generic_50sum,14,33052,0.0478099089272126,0.143021610099963,0.2058420280533139,0.0478099089272126,0.0356924320804408,0.0299149372035278,0.0423877526322159,0.1288575577877284,0.1922122715720682,0.0423877526322159,0.0332869417886965,0.0288666343942875,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend score_fusion_generic_75sum,14,33052,0.0440616615859132,0.1211779711478323,0.1873734686771242,0.0440616615859132,0.0314089551906317,0.027073355606324,0.0394227278228246,0.1206281011739077,0.1817439186736052,0.0394227278228246,0.0312356287062809,0.0269635725523415,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend score_fusion_tuned_25sum,14,33052,0.0470506210612291,0.143306926398448,0.2066681074566358,0.0470506210612291,0.0360666246491048,0.0312344210313851,0.0408144741619266,0.1301887934164347,0.1950260196054701,0.0408144741619266,0.0334261164226066,0.0294898947113636,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend score_fusion_tuned_50sum,14,33052,0.0464851124650627,0.1414924653549348,0.2055114400559587,0.0464851124650627,0.0350855088170114,0.0296158502837224,0.0420549437250393,0.1307333898099963,0.1972346605349146,0.0420549437250393,0.033492678204042,0.0293688732905721,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend score_fusion_tuned_75sum,14,33052,0.0445691131744987,0.1224649548581656,0.1878605043133919,0.0445691131744987,0.0310854779423203,0.0268805281616279,0.0411775384243011,0.1262858525959094,0.1922425269272661,0.0411775384243011,0.0325366089797894,0.028334140142805,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
Blend tuned_sum_only,14,33052,0.034420288427863,0.106587930939233,0.1594057773983508,0.034420288427863,0.0266983710962039,0.0225545401801216,0.0352777441607164,0.11264068740167,0.173877526322159,0.0352777441607164,0.0285913106619871,0.0250211787486383,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260621_001921_long/gate_v3_sequentialgate_hybmp_l002_w050_balanced_length_b256_lr0.0001_src0.02_scale0.02_long/checkpoints/best_val_official_like_at10.pt
