query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method
6,+Mustache,301,0.0963455149501661,0.1827242524916943,0.2524916943521594,0.0963455149501661,0.0498338870431893,0.0395348837209302,Contrastive sequential
7,-Young,5355,0.0110177404295051,0.0397759103641456,0.0696545284780578,0.0110177404295051,0.009859943977591,0.0094304388422036,Contrastive sequential
8,"+Eyeglasses, +Smiling",612,0.0490196078431372,0.1879084967320261,0.2712418300653594,0.0490196078431372,0.0444444444444443,0.0344771241830065,Contrastive sequential
9,"+Black_Hair, -Wavy_Hair",2572,0.0381026438569206,0.1263608087091757,0.2002332814930015,0.0381026438569206,0.0298600311041992,0.0265940902021773,Contrastive sequential
10,"-Male, -Mustache",27,0.0,0.074074074074074,0.074074074074074,0.0,0.0148148148148148,0.0111111111111111,Contrastive sequential
11,"+Chubby, -Young",584,0.0136986301369863,0.0308219178082191,0.0496575342465753,0.0136986301369863,0.0068493150684931,0.0059931506849315,Contrastive sequential
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.1139240506329113,0.2784810126582278,0.430379746835443,0.1139240506329113,0.0708860759493671,0.0658227848101265,Contrastive sequential
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.0294117647058823,0.088235294117647,0.0,0.0058823529411764,0.0088235294117647,Contrastive sequential
0,+Smiling,4786,0.0679063936481404,0.1916005014625992,0.2620142081069787,0.0679063936481404,0.051065608023401,0.0411826159632253,Adaptive tangent sequential
1,+Eyeglasses,2196,0.0564663023679417,0.1643897996357012,0.2509107468123862,0.0564663023679417,0.0405282331511841,0.0346994535519126,Adaptive tangent sequential
2,-Heavy_Makeup,4087,0.0288720332762417,0.1074137509175434,0.1685833129434793,0.0288720332762417,0.0240274039637878,0.0212870075850256,Adaptive tangent sequential
3,+Male,1595,0.0438871473354232,0.1529780564263322,0.2394984326018809,0.0438871473354232,0.0423824451410659,0.0392476489028214,Adaptive tangent sequential
4,-Young,5355,0.0110177404295051,0.0395891690009337,0.0698412698412698,0.0110177404295051,0.0098225957049486,0.0094304388422036,Adaptive tangent sequential
5,+Blond_Hair,5469,0.0382153958676174,0.1261656609983543,0.19345401353081,0.0382153958676174,0.033753885536661,0.030096909855549,Adaptive tangent sequential
6,+Mustache,301,0.0963455149501661,0.1827242524916943,0.2491694352159468,0.0963455149501661,0.0498338870431893,0.0392026578073089,Adaptive tangent sequential
7,-Young,5355,0.0110177404295051,0.0395891690009337,0.0698412698412698,0.0110177404295051,0.0098225957049486,0.0094304388422036,Adaptive tangent sequential
8,"+Eyeglasses, +Smiling",612,0.0490196078431372,0.1862745098039215,0.2679738562091503,0.0490196078431372,0.0437908496732025,0.0341503267973856,Adaptive tangent sequential
9,"+Black_Hair, -Wavy_Hair",2572,0.0381026438569206,0.1259720062208398,0.2033437013996889,0.0381026438569206,0.0295489891135304,0.0270217729393469,Adaptive tangent sequential
10,"-Male, -Mustache",27,0.0,0.074074074074074,0.074074074074074,0.0,0.0148148148148148,0.0111111111111111,Adaptive tangent sequential
11,"+Chubby, -Young",584,0.0136986301369863,0.0308219178082191,0.0496575342465753,0.0136986301369863,0.0068493150684931,0.0059931506849315,Adaptive tangent sequential
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.1139240506329113,0.2784810126582278,0.430379746835443,0.1139240506329113,0.0708860759493671,0.0645569620253164,Adaptive tangent sequential
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.0294117647058823,0.088235294117647,0.0,0.0058823529411764,0.0088235294117647,Adaptive tangent sequential
0,+Smiling,4786,0.0745925616381111,0.2216882574174676,0.3054743000417885,0.0745925616381111,0.0610530714584195,0.050125365649811,Gate v3 hybrid best
1,+Eyeglasses,2196,0.1243169398907103,0.3360655737704918,0.4685792349726776,0.1243169398907103,0.0956284153005457,0.0801001821493615,Gate v3 hybrid best
2,-Heavy_Makeup,4087,0.0484462931245412,0.149743087839491,0.226082701247859,0.0484462931245412,0.0353804746758014,0.0313188157572788,Gate v3 hybrid best
3,+Male,1595,0.0094043887147335,0.0275862068965517,0.0520376175548589,0.0094043887147335,0.0068965517241379,0.0072727272727272,Gate v3 hybrid best
4,-Young,5355,0.0117647058823529,0.0450046685340803,0.0793650793650793,0.0117647058823529,0.0109803921568627,0.0111111111111111,Gate v3 hybrid best
5,+Blond_Hair,5469,0.0391296397878954,0.136039495337356,0.2108246480160907,0.0391296397878954,0.0350703967818612,0.0316511245200214,Gate v3 hybrid best
6,+Mustache,301,0.0897009966777408,0.2225913621262458,0.2990033222591362,0.0897009966777408,0.0598006644518272,0.0471760797342192,Gate v3 hybrid best
7,-Young,5355,0.0117647058823529,0.0450046685340803,0.0793650793650793,0.0117647058823529,0.0109803921568627,0.0111111111111111,Gate v3 hybrid best
8,"+Eyeglasses, +Smiling",612,0.1062091503267973,0.2794117647058823,0.4084967320261438,0.1062091503267973,0.0712418300653595,0.0596405228758172,Gate v3 hybrid best
9,"+Black_Hair, -Wavy_Hair",2572,0.0365474339035769,0.1290824261275272,0.2153965785381026,0.0365474339035769,0.0302488335925351,0.0287713841368585,Gate v3 hybrid best
10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0,Gate v3 hybrid best
11,"+Chubby, -Young",584,0.0017123287671232,0.011986301369863,0.0222602739726027,0.0017123287671232,0.0023972602739726,0.0027397260273972,Gate v3 hybrid best
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0886075949367088,0.3924050632911392,0.5569620253164557,0.0886075949367088,0.1063291139240506,0.0886075949367088,Gate v3 hybrid best
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0294117647058823,0.0588235294117647,0.0588235294117647,0.0294117647058823,0.0117647058823529,0.0058823529411764,Gate v3 hybrid best
0,+Smiling,4786,0.0679063936481404,0.1913915587129126,0.2618052653572921,0.0679063936481404,0.0509820309235264,0.0411199331383194,Blend generic_sum_only
1,+Eyeglasses,2196,0.0569216757741347,0.1675774134790528,0.2518214936247723,0.0569216757741347,0.0411657559198545,0.0347449908925319,Blend generic_sum_only
2,-Heavy_Makeup,4087,0.0291167115243454,0.1076584291656471,0.1678492781991681,0.0291167115243454,0.0240763396134085,0.0212136041105945,Blend generic_sum_only
3,+Male,1595,0.0438871473354232,0.1517241379310344,0.238244514106583,0.0438871473354232,0.0418808777429468,0.038934169278997,Blend generic_sum_only
4,-Young,5355,0.0110177404295051,0.0397759103641456,0.0698412698412698,0.0110177404295051,0.0098225957049486,0.0094491129785247,Blend generic_sum_only
5,+Blond_Hair,5469,0.038398244651673,0.1261656609983543,0.1940025598829767,0.038398244651673,0.0337904552934721,0.0301517644907657,Blend generic_sum_only
6,+Mustache,301,0.0963455149501661,0.1827242524916943,0.2524916943521594,0.0963455149501661,0.0498338870431893,0.0395348837209302,Blend generic_sum_only
7,-Young,5355,0.0110177404295051,0.0397759103641456,0.0698412698412698,0.0110177404295051,0.0098225957049486,0.0094491129785247,Blend generic_sum_only
8,"+Eyeglasses, +Smiling",612,0.0326797385620915,0.0915032679738562,0.1552287581699346,0.0326797385620915,0.0202614379084967,0.0181372549019607,Blend generic_sum_only
9,"+Black_Hair, -Wavy_Hair",2572,0.0373250388802488,0.1290824261275272,0.2025660964230171,0.0373250388802488,0.0302488335925351,0.0269828926905133,Blend generic_sum_only
10,"-Male, -Mustache",27,0.037037037037037,0.074074074074074,0.074074074074074,0.037037037037037,0.0148148148148148,0.0148148148148148,Blend generic_sum_only
11,"+Chubby, -Young",584,0.0068493150684931,0.0188356164383561,0.0393835616438356,0.0068493150684931,0.0037671232876712,0.0042808219178082,Blend generic_sum_only
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0126582278481012,0.1139240506329113,0.1265822784810126,0.0126582278481012,0.0227848101265822,0.0126582278481012,Blend generic_sum_only
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0294117647058823,0.0588235294117647,0.0588235294117647,0.0294117647058823,0.0176470588235294,0.0088235294117647,Blend generic_sum_only
0,+Smiling,4786,0.0472210614291684,0.141245298788132,0.2045549519431675,0.0472210614291684,0.0366067697450897,0.0302966987045546,Blend generic_tangent_seq
1,+Eyeglasses,2196,0.0651183970856102,0.2044626593806921,0.2946265938069217,0.0651183970856102,0.0499089253187617,0.0416211293260472,Blend generic_tangent_seq
2,-Heavy_Makeup,4087,0.0320528505015904,0.1120626376315145,0.1720088084169317,0.0320528505015904,0.0246635674088575,0.021115732811353,Blend generic_tangent_seq
3,+Male,1595,0.0357366771159874,0.1260188087774294,0.1968652037617554,0.0357366771159874,0.032601880877743,0.0298432601880879,Blend generic_tangent_seq
4,-Young,5355,0.0166199813258636,0.0547152194211017,0.0915032679738562,0.0166199813258636,0.0135574229691877,0.0124183006535948,Blend generic_tangent_seq
5,+Blond_Hair,5469,0.0457121960138965,0.1369537392576339,0.2060705796306454,0.0457121960138965,0.0357652221612724,0.031961967452916,Blend generic_tangent_seq
6,+Mustache,301,0.0830564784053156,0.2026578073089701,0.2890365448504983,0.0830564784053156,0.0524916943521594,0.0441860465116278,Blend generic_tangent_seq
7,-Young,5355,0.0166199813258636,0.0547152194211017,0.0915032679738562,0.0166199813258636,0.0135574229691877,0.0124183006535948,Blend generic_tangent_seq
8,"+Eyeglasses, +Smiling",612,0.0130718954248366,0.0522875816993464,0.0964052287581699,0.0130718954248366,0.0107843137254902,0.0107843137254901,Blend generic_tangent_seq
