method,query_id,query,sources,avg_filtered_candidates_in_pool,avg_official_valid_candidates_in_filtered_pool,filtered_pool_hit_rate,raw_pool_hit_rate,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
oracle_hamming_only,0,+Smiling,4786,13.712494776431258,6.380484747179273,0.9346009193480986,0.9346009193480986,0.5608023401587965,0.8796489761805265,0.9243627246134559,0.5608023401587965,0.4581696615127481,0.37137484329293785
oracle_hamming_only,1,+Eyeglasses,2196,21.7304189435337,14.70719489981785,0.9995446265938069,0.9995446265938069,0.901183970856102,0.9936247723132969,0.9990892531876139,0.901183970856102,0.8676684881602814,0.7320582877959946
oracle_hamming_only,2,-Heavy_Makeup,4087,23.389772449229262,6.438218742353805,0.9495962808906289,0.9495962808906289,0.32150721800831905,0.7663322730609249,0.8918522143381453,0.32150721800831905,0.30511377538537476,0.2712747736726231
oracle_hamming_only,3,+Male,1595,18.260188087774296,17.956112852664578,0.9862068965517241,0.9862068965517241,0.9730407523510972,0.9862068965517241,0.9862068965517241,0.9730407523510972,0.8447648902821299,0.6914106583072098
oracle_hamming_only,4,-Young,5355,21.0547152194211,7.512231559290383,0.9563025210084034,0.9563025210084034,0.36619981325863676,0.7925303454715219,0.9064425770308123,0.36619981325863676,0.35854341736695305,0.31727357609710416
oracle_hamming_only,5,+Blond_Hair,5469,19.551471932711646,10.658072773816054,0.985006399707442,0.985006399707442,0.665203876394222,0.9486194916803803,0.9753154141524959,0.665203876394222,0.6079722069848271,0.5173889193636896
oracle_hamming_only,6,+Mustache,301,22.39202657807309,5.086378737541528,1.0,1.0,0.5049833887043189,0.9069767441860465,0.973421926910299,0.5049833887043189,0.39734219269103044,0.32591362126245843
oracle_hamming_only,7,-Young,5355,21.0547152194211,7.512231559290383,0.9563025210084034,0.9563025210084034,0.36619981325863676,0.7925303454715219,0.9064425770308123,0.36619981325863676,0.35854341736695305,0.31727357609710416
oracle_hamming_only,8,"+Eyeglasses, +Smiling",612,34.75,9.145424836601308,1.0,1.0,0.6209150326797386,0.9444444444444444,0.9787581699346405,0.6209150326797386,0.5500000000000002,0.4563725490196076
oracle_hamming_only,9,"+Black_Hair, -Wavy_Hair",2572,26.692068429237946,9.211508553654744,0.9755054432348367,0.9755054432348367,0.4284603421461897,0.8806376360808709,0.9537325038880249,0.4284603421461897,0.3886469673405933,0.34490668740279945
oracle_hamming_only,10,"-Male, -Mustache",27,8.296296296296296,7.296296296296297,1.0,1.0,0.9629629629629629,1.0,1.0,0.9629629629629629,0.7481481481481481,0.5666666666666667
oracle_hamming_only,11,"+Chubby, -Young",584,41.44349315068493,5.157534246575342,0.9982876712328768,0.9982876712328768,0.4023972602739726,0.7945205479452054,0.9434931506849316,0.4023972602739726,0.26883561643835646,0.21575342465753408
oracle_hamming_only,12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,57.22784810126582,7.0,1.0,1.0,0.7088607594936709,0.9240506329113924,0.9620253164556962,0.7088607594936709,0.5670886075949366,0.40632911392405063
oracle_hamming_only,13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,18.264705882352942,2.088235294117647,0.7647058823529411,0.7647058823529411,0.20588235294117646,0.5882352941176471,0.7058823529411765,0.20588235294117646,0.18823529411764708,0.12941176470588237
