query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,423.4782699540326,6.571482856105273,0.4486521451395025,0.08483075637275386,0.239657333890514,0.328458002507313,0.08483075637275386,0.06510656080233916,0.053155035520266465
1,+Eyeglasses,2196,449.7372495446266,6.444401005686741,0.0728760752046586,0.18670309653916212,0.4672131147540984,0.6133879781420765,0.18670309653916212,0.1409836065573752,0.12235883424407895
2,-Heavy_Makeup,4087,245.84462931245412,6.0302969687195604,0.35760448761840363,0.0685099094690482,0.21360411059456813,0.3212625397602153,0.0685099094690482,0.05094201125519895,0.044115488133104126
3,+Male,1595,498.9880877742947,5.820400831168722,0.5660369469827993,0.12225705329153605,0.34169278996865204,0.46394984326018807,0.12225705329153605,0.10570532915360484,0.09429467084639433
4,-Young,5355,298.7432306255836,6.505321535587756,0.24808651549475533,0.043697478991596636,0.16900093370681607,0.2700280112044818,0.043697478991596636,0.043436041083099446,0.04218487394957906
5,+Blond_Hair,5469,380.0043883708173,5.89681094192809,0.12025089570794383,0.0824648016090693,0.2569025415980984,0.38306820259645274,0.0824648016090693,0.06922654964344346,0.06262570853903839
6,+Mustache,301,264.3887043189369,6.775706978731377,0.045566366397562216,0.09966777408637874,0.30564784053156147,0.4584717607973422,0.09966777408637874,0.08637873754152815,0.07109634551495023
7,-Young,5355,298.7432306255836,6.505321535587756,0.24808651549475533,0.043697478991596636,0.16900093370681607,0.2700280112044818,0.043697478991596636,0.043436041083099446,0.04218487394957906
8,"+Eyeglasses, +Smiling",612,235.44771241830065,6.7878920587838865,0.235037697491303,0.17483660130718953,0.4542483660130719,0.5980392156862745,0.17483660130718953,0.14379084967320307,0.12107843137254927
9,"+Black_Hair, -Wavy_Hair",2572,287.16407465007774,5.602003662990374,0.3224371049443077,0.07309486780715396,0.23483670295489892,0.3775272161741835,0.07309486780715396,0.06034214618973564,0.057231726283047554
10,"-Male, -Mustache",27,481.44444444444446,7.552687998171206,0.6549013367405644,0.037037037037037035,0.18518518518518517,0.4074074074074074,0.037037037037037035,0.044444444444444446,0.044444444444444446
11,"+Chubby, -Young",584,257.41267123287673,7.145384086321478,0.19901720000660583,0.07534246575342465,0.3116438356164384,0.4863013698630137,0.07534246575342465,0.07568493150684935,0.06541095890410986
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,69.62025316455696,7.402829432789283,0.1838460538206221,0.25316455696202533,0.6329113924050633,0.7721518987341772,0.25316455696202533,0.21772151898734168,0.14936708860759484
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,78.8529411764706,5.821090473848231,0.24480109135894215,0.029411764705882353,0.14705882352941177,0.29411764705882354,0.029411764705882353,0.029411764705882353,0.02941176470588235
