method,query_id,query,sources,avg_filtered_candidates_in_pool,avg_official_valid_candidates_in_filtered_pool,filtered_pool_hit_rate,raw_pool_hit_rate,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
oracle_query_only,0,+Smiling,4786,410.79983284580027,6.380484747179273,0.9346009193480986,0.9346009193480986,0.0902632678646051,0.24780610112829085,0.3389051399916423,0.0902632678646051,0.06907647304638417,0.05647722524028342
oracle_query_only,1,+Eyeglasses,2196,441.95810564663026,14.70719489981785,0.9995446265938069,0.9995446265938069,0.17577413479052822,0.45719489981785066,0.6024590163934426,0.17577413479052822,0.13397085610200188,0.11639344262294934
oracle_query_only,2,-Heavy_Makeup,4087,232.65818448739907,6.438218742353805,0.9495962808906289,0.9495962808906289,0.10619035967702471,0.2896990457548324,0.40738928309273303,0.10619035967702471,0.07570344996329703,0.06315145583557501
oracle_query_only,3,+Male,1595,497.56677115987463,17.956112852664578,0.9862068965517241,0.9862068965517241,0.11410658307210031,0.3084639498432602,0.4445141065830721,0.11410658307210031,0.09178683385579951,0.0878369905956108
oracle_query_only,4,-Young,5355,255.3531279178338,7.512231559290383,0.9563025210084034,0.9563025210084034,0.08011204481792718,0.25845004668534083,0.3843137254901961,0.08011204481792718,0.0702894491129771,0.06491129785247453
oracle_query_only,5,+Blond_Hair,5469,353.2581824830865,10.658072773816054,0.985006399707442,0.985006399707442,0.1007496800146279,0.2982263667946608,0.4304260376668495,0.1007496800146279,0.0853538123971457,0.0748400073139523
oracle_query_only,6,+Mustache,301,200.08305647840533,5.086378737541528,1.0,1.0,0.17275747508305647,0.45182724252491696,0.5913621262458472,0.17275747508305647,0.1308970099667774,0.1029900332225915
oracle_query_only,7,-Young,5355,255.3531279178338,7.512231559290383,0.9563025210084034,0.9563025210084034,0.08011204481792718,0.25845004668534083,0.3843137254901961,0.08011204481792718,0.0702894491129771,0.06491129785247453
oracle_query_only,8,"+Eyeglasses, +Smiling",612,223.16993464052288,9.145424836601308,1.0,1.0,0.20098039215686275,0.47549019607843135,0.6535947712418301,0.20098039215686275,0.1545751633986933,0.13284313725490202
oracle_query_only,9,"+Black_Hair, -Wavy_Hair",2572,214.12363919129083,9.211508553654744,0.9755054432348367,0.9755054432348367,0.1026438569206843,0.3106531881804043,0.4595645412130638,0.1026438569206843,0.08670295489891085,0.07896578538102536
oracle_query_only,10,"-Male, -Mustache",27,473.3703703703704,7.296296296296297,1.0,1.0,0.07407407407407407,0.18518518518518517,0.4074074074074074,0.07407407407407407,0.044444444444444446,0.04814814814814815
oracle_query_only,11,"+Chubby, -Young",584,174.61986301369862,5.157534246575342,0.9982876712328768,0.9982876712328768,0.1523972602739726,0.4845890410958904,0.6386986301369864,0.1523972602739726,0.12773972602739775,0.09845890410958948
oracle_query_only,12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,67.54430379746836,7.0,1.0,1.0,0.3037974683544304,0.7215189873417721,0.8354430379746836,0.3037974683544304,0.28607594936708847,0.21518987341772147
oracle_query_only,13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,115.02941176470588,2.088235294117647,0.7647058823529411,0.7647058823529411,0.029411764705882353,0.17647058823529413,0.47058823529411764,0.029411764705882353,0.041176470588235294,0.061764705882352944
