query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.06435436690346845,0.1984956122022566,0.2753865440869202,0.06435436690346845,0.05248641872126976,0.04391976598411964
1,+Eyeglasses,2196,0.10473588342440801,0.2887067395264117,0.42213114754098363,0.10473588342440801,0.07969034608378858,0.07026411657559123
2,-Heavy_Makeup,4087,0.046244188891607536,0.1578174700269146,0.23954000489356497,0.046244188891607536,0.037435771959872834,0.03241986787374566
3,+Male,1595,0.07084639498432602,0.21692789968652038,0.3028213166144201,0.07084639498432602,0.06307210031347993,0.056677115987460745
4,-Young,5355,0.027824463118580764,0.09225023342670402,0.1480859010270775,0.027824463118580764,0.02311858076563975,0.021120448179271528
5,+Blond_Hair,5469,0.05028341561528616,0.16218687145730482,0.25726823916620956,0.05028341561528616,0.04260376668495113,0.038215395867616755
6,+Mustache,301,0.10299003322259136,0.32558139534883723,0.4318936877076412,0.10299003322259136,0.08372093023255803,0.0687707641196013
7,-Young,5355,0.027824463118580764,0.09225023342670402,0.1480859010270775,0.027824463118580764,0.02311858076563975,0.021120448179271528
8,"+Eyeglasses, +Smiling",612,0.09803921568627451,0.3235294117647059,0.4869281045751634,0.09803921568627451,0.08594771241830079,0.07352941176470613
9,"+Black_Hair, -Wavy_Hair",2572,0.04471228615863142,0.16096423017107309,0.2562208398133748,0.04471228615863142,0.03786936236391938,0.03448678071539652
10,"-Male, -Mustache",27,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.02962962962962963,0.018518518518518517
11,"+Chubby, -Young",584,0.010273972602739725,0.03424657534246575,0.06164383561643835,0.010273972602739725,0.00719178082191781,0.007705479452054796
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.1518987341772152,0.6075949367088608,0.7215189873417721,0.1518987341772152,0.1873417721518986,0.15063291139240495
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.0058823529411764705,0.008823529411764707
