query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,421.4162139573757,8.723162414038276,0.42578484859617993,0.0768909318846636,0.22168825741746762,0.30693689928959467,0.0768909318846636,0.059674049310488156,0.04876723777684829
1,+Eyeglasses,2196,454.52777777777777,10.128248755614832,0.5457176330256767,0.17076502732240437,0.4453551912568306,0.5951730418943534,0.17076502732240437,0.12896174863387816,0.11320582877959783
2,-Heavy_Makeup,4087,193.96231954979203,8.647915615672613,0.28463833121542303,0.055297284071446046,0.1869341815512601,0.2835820895522388,0.055297284071446046,0.0446293124541226,0.038561291901149396
3,+Male,1595,498.87021943573666,9.626099557188985,0.4911597808513522,0.11285266457680251,0.30595611285266455,0.4426332288401254,0.11285266457680251,0.09103448275862085,0.08733542319749171
4,-Young,5355,371.45098039215685,8.638804706338407,0.40064258226493493,0.04239028944911298,0.161531279178338,0.25695611577964517,0.04239028944911298,0.04100840336134417,0.03910364145658194
5,+Blond_Hair,5469,437.5408667032364,7.967955176105314,0.3612620398922624,0.07295666483817882,0.23843481440848419,0.36295483635033826,0.07295666483817882,0.06381422563539832,0.05737794843664272
6,+Mustache,301,429.2093023255814,8.789311516720591,0.40394401698809523,0.11627906976744186,0.3588039867109635,0.4717607973421927,0.11627906976744186,0.09700996677740849,0.07641196013289042
7,-Young,5355,371.45098039215685,8.638804706338407,0.40064258226493493,0.04239028944911298,0.161531279178338,0.25695611577964517,0.04239028944911298,0.04100840336134417,0.03910364145658194
8,"+Eyeglasses, +Smiling",612,235.30065359477123,10.94244597394482,0.4616666039318041,0.16993464052287582,0.43790849673202614,0.5931372549019608,0.16993464052287582,0.1369281045751638,0.11813725490196102
9,"+Black_Hair, -Wavy_Hair",2572,307.9412908242613,7.775453625348271,0.37229650190699715,0.07192846034214619,0.22356143079315707,0.3538102643856921,0.07192846034214619,0.056687402799378034,0.05283825816485168
10,"-Male, -Mustache",27,484.0740740740741,12.303356682812726,0.4787321830237353,0.07407407407407407,0.18518518518518517,0.4074074074074074,0.07407407407407407,0.044444444444444446,0.04814814814814815
11,"+Chubby, -Young",584,426.2756849315069,9.813549694133131,0.48057096114713854,0.08047945205479452,0.3082191780821918,0.4520547945205479,0.08047945205479452,0.07671232876712335,0.06130136986301388
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,91.60759493670886,11.797703386862066,0.4942635203464122,0.22784810126582278,0.6329113924050633,0.7215189873417721,0.22784810126582278,0.21518987341772142,0.16329113924050626
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,59.3235294117647,8.8011374613818,0.2406053034698262,0.029411764705882353,0.11764705882352941,0.20588235294117646,0.029411764705882353,0.029411764705882353,0.023529411764705882
