system,short,source,macro_Recall@1,macro_Recall@5,macro_Recall@10,macro_Precision@1,macro_Precision@5,macro_Precision@10,micro_Recall@1,micro_Recall@5,micro_Recall@10,micro_Precision@1,micro_Precision@5,micro_Precision@10
Assignment baseline,Baseline,final_best_system/results/assignment_baseline_direct_sum,0.023966709267386106,0.07182740338778983,0.10842420927025993,0.023966709267386106,0.01756813074795618,0.014712034387125808,0.02571705191818952,0.08147767154786398,0.12477308483601597,0.02571705191818952,0.02026503691153333,0.017681229577635148
Learned gate only,No correction,final_best_system/results/final_best_model_only,0.023826051150566036,0.08966946947071483,0.14919725016913027,0.023826051150566036,0.021981846866883707,0.020549544318370243,0.029166162410746703,0.10026624712574125,0.1592641897615878,0.029166162410746703,0.024942514825124065,0.022830691032312538
Generic sum only,Sum only,final_best_system/results/final_best_generic_sum_only,0.03646944934605339,0.10664544558324833,0.1544682602435093,0.03646944934605339,0.0264927583214232,0.022163936655296538,0.03385574246641655,0.1073762555972407,0.16368147162047683,0.03385574246641655,0.027223768607043414,0.023738351688248675
Learned gate + corrective sum,With correction,final_best_system/results/final_best_model_plus_generic_delta_beta_1p50,0.08641822953657662,0.263709642625013,0.39147232029942175,0.08641822953657662,0.07271335989033009,0.06288538825379018,0.06689459034249062,0.20957884545564565,0.31365726733631855,0.06689459034249062,0.05528258501754771,0.0492738714752506
