method,description,checkpoint,model_id,top_pool,top_k,beta,max_hamming,query_entries,source_query_cases,macro_avg_filtered_candidates_in_pool,macro_avg_official_valid_candidates_in_filtered_pool,macro_filtered_pool_hit_rate,macro_raw_pool_hit_rate,macro_Recall@1,macro_Recall@5,macro_Recall@10,macro_Precision@1,macro_Precision@5,macro_Precision@10,micro_Recall@1,micro_Recall@5,micro_Recall@10,micro_Precision@1,micro_Precision@5,micro_Precision@10
oracle_query_and_hamming,Keep candidates satisfying both query and non-query Hamming constraints.,/Users/kuba/deep_learning/final_best_system/weights/best_val_official_like_at10.pt,openai/clip-vit-base-patch32,500,10,1.25,2,14,33052,8.296423221371372,8.296423221371372,0.9647185115663687,0.9647185115663687,0.9647185115663687,0.9647185115663687,0.9647185115663687,0.9647185115663687,0.7949924985451734,0.5727640957384569,0.9647827665496793,0.9647827665496793,0.9647827665496793,0.9647827665496793,0.7843882367178998,0.5789362217112423
oracle_hamming_only,Keep candidates with non-query Hamming<=max_hamming only.,/Users/kuba/deep_learning/final_best_system/weights/best_val_official_like_at10.pt,openai/clip-vit-base-patch32,500,10,1.25,2,14,33052,24.844301076173814,8.296423221371372,0.9647185115663687,0.9647185115663687,0.5706142773919886,0.8713113143153931,0.9362160769799878,0.5706142773919886,0.49350519167071283,0.40452917587611875,0.5157630400580903,0.8614607285489532,0.9349207309693816,0.5157630400580903,0.47022267941425955,0.40137964419702343
oracle_query_only,Keep candidates satisfying requested query attributes only.,/Users/kuba/deep_learning/final_best_system/weights/best_val_official_like_at10.pt,openai/clip-vit-base-patch32,500,10,1.25,2,14,33052,279.63485083678006,8.296423221371372,0.9647185115663687,0.9647185115663687,0.12738360047312167,0.3517160632393908,0.503498556015862,0.12738360047312167,0.10486300302015214,0.09049159319497506,0.10280769696236233,0.2977732058574368,0.4240288030981484,0.10280769696236233,0.08341401428052644,0.07327544475372118
baseline_q_final,No oracle filtering; use q_final top-k directly.,/Users/kuba/deep_learning/final_best_system/weights/best_val_official_like_at10.pt,openai/clip-vit-base-patch32,500,10,1.25,2,14,33052,500.0,8.296423221371372,0.9647185115663687,0.9647185115663687,0.09009136175993049,0.26889120822849544,0.39698439353876386,0.09009136175993049,0.07492404260254641,0.06608954997851167,0.07058574367663076,0.21986566622292145,0.32839162531768123,0.07058574367663076,0.0583141716083742,0.05208761950865244
