query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method,result_dir
8,"+Eyeglasses, +Smiling",612,0.0522875816993464,0.1699346405228758,0.2581699346405229,0.0522875816993464,0.0395424836601306,0.0323529411764706,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
9,"+Black_Hair, -Wavy_Hair",2572,0.0388802488335925,0.1279160186625194,0.2107309486780715,0.0388802488335925,0.0303265940902023,0.0286547433903577,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
10,"-Male, -Mustache",27,0.0,0.074074074074074,0.074074074074074,0.0,0.0148148148148148,0.0111111111111111,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
11,"+Chubby, -Young",584,0.0136986301369863,0.0205479452054794,0.0428082191780821,0.0136986301369863,0.0044520547945205,0.0051369863013698,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0886075949367088,0.2278481012658227,0.240506329113924,0.0886075949367088,0.0531645569620253,0.0354430379746835,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0117647058823529,0.0088235294117647,Contrastive sum,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/03_contrastive_sum
0,+Smiling,4786,0.0676974508984538,0.1913915587129126,0.2615963226076055,0.0676974508984538,0.0509820309235264,0.041140827413288,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
1,+Eyeglasses,2196,0.0569216757741347,0.1671220400728597,0.2518214936247723,0.0569216757741347,0.0410746812386159,0.0347905282331512,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
2,-Heavy_Makeup,4087,0.0288720332762417,0.1074137509175434,0.1685833129434793,0.0288720332762417,0.0240274039637878,0.0212870075850256,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
3,+Male,1595,0.0438871473354232,0.1517241379310344,0.2376175548589341,0.0438871473354232,0.0418808777429468,0.0390595611285268,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
4,-Young,5355,0.0110177404295051,0.0397759103641456,0.0696545284780578,0.0110177404295051,0.009859943977591,0.0094304388422036,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
5,+Blond_Hair,5469,0.038398244651673,0.1263485097824099,0.1938197110989211,0.038398244651673,0.033753885536661,0.0301700493691712,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
6,+Mustache,301,0.0963455149501661,0.1827242524916943,0.2524916943521594,0.0963455149501661,0.0498338870431893,0.0395348837209302,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
7,-Young,5355,0.0110177404295051,0.0397759103641456,0.0696545284780578,0.0110177404295051,0.009859943977591,0.0094304388422036,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
8,"+Eyeglasses, +Smiling",612,0.0490196078431372,0.1879084967320261,0.2712418300653594,0.0490196078431372,0.0444444444444443,0.0344771241830065,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
9,"+Black_Hair, -Wavy_Hair",2572,0.0381026438569206,0.1263608087091757,0.2002332814930015,0.0381026438569206,0.0298600311041992,0.0265940902021773,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
10,"-Male, -Mustache",27,0.0,0.074074074074074,0.074074074074074,0.0,0.0148148148148148,0.0111111111111111,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
11,"+Chubby, -Young",584,0.0136986301369863,0.0308219178082191,0.0496575342465753,0.0136986301369863,0.0068493150684931,0.0059931506849315,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.1139240506329113,0.2784810126582278,0.430379746835443,0.1139240506329113,0.0708860759493671,0.0658227848101265,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.0294117647058823,0.088235294117647,0.0,0.0058823529411764,0.0088235294117647,Contrastive sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/04_contrastive_sequential
0,+Smiling,4786,0.0679063936481404,0.1916005014625992,0.2620142081069787,0.0679063936481404,0.051065608023401,0.0411826159632253,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
1,+Eyeglasses,2196,0.0564663023679417,0.1643897996357012,0.2509107468123862,0.0564663023679417,0.0405282331511841,0.0346994535519126,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
2,-Heavy_Makeup,4087,0.0288720332762417,0.1074137509175434,0.1685833129434793,0.0288720332762417,0.0240274039637878,0.0212870075850256,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
3,+Male,1595,0.0438871473354232,0.1529780564263322,0.2394984326018809,0.0438871473354232,0.0423824451410659,0.0392476489028214,Adaptive tangent sequential,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/baselines/05_adaptive_tangent_sequential
