query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,423.4782699540326,6.571482856105273,0.4486521451395025,0.07605516088591725,0.22252402841621396,0.30819055578771415,0.07605516088591725,0.05984120351023743,0.04908065190137816
1,+Eyeglasses,2196,449.7372495446266,6.444401005686741,0.0728760752046586,0.17122040072859745,0.44581056466302366,0.5951730418943534,0.17122040072859745,0.1293260473588326,0.11311475409835921
2,-Heavy_Makeup,4087,245.84462931245412,6.0302969687195604,0.35760448761840363,0.06337166625886959,0.20528505015904086,0.3058478101296795,0.06337166625886959,0.04859310007340307,0.04164423782725641
3,+Male,1595,498.9880877742947,5.820400831168722,0.5660369469827993,0.11285266457680251,0.30595611285266455,0.4426332288401254,0.11285266457680251,0.09103448275862085,0.08733542319749171
4,-Young,5355,298.7432306255836,6.505321535587756,0.24808651549475533,0.043697478991596636,0.16433239962651727,0.25770308123249297,0.043697478991596636,0.04227824463118538,0.040112044817926476
5,+Blond_Hair,5469,380.0043883708173,5.89681094192809,0.12025089570794383,0.07825927957579082,0.24190894130554033,0.36716035838361677,0.07825927957579082,0.06513073688059852,0.05887730846589864
6,+Mustache,301,264.3887043189369,6.775706978731377,0.045566366397562216,0.12292358803986711,0.32558139534883723,0.43521594684385384,0.12292358803986711,0.09036544850498329,0.06910299003322264
7,-Young,5355,298.7432306255836,6.505321535587756,0.24808651549475533,0.043697478991596636,0.16433239962651727,0.25770308123249297,0.043697478991596636,0.04227824463118538,0.040112044817926476
8,"+Eyeglasses, +Smiling",612,235.44771241830065,6.7878920587838865,0.235037697491303,0.16830065359477125,0.43300653594771243,0.5882352941176471,0.16830065359477125,0.13562091503268014,0.11764705882352965
9,"+Black_Hair, -Wavy_Hair",2572,287.16407465007774,5.602003662990374,0.3224371049443077,0.06881804043545879,0.22706065318818042,0.36702954898911355,0.06881804043545879,0.0584758942457232,0.05470451010886408
10,"-Male, -Mustache",27,481.44444444444446,7.552687998171206,0.6549013367405644,0.07407407407407407,0.18518518518518517,0.4074074074074074,0.07407407407407407,0.044444444444444446,0.04814814814814815
11,"+Chubby, -Young",584,257.41267123287673,7.145384086321478,0.19901720000660583,0.08047945205479452,0.3441780821917808,0.5017123287671232,0.08047945205479452,0.0815068493150686,0.06626712328767151
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,69.62025316455696,7.402829432789283,0.1838460538206221,0.26582278481012656,0.620253164556962,0.7341772151898734,0.26582278481012656,0.20253164556962017,0.1455696202531645
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,78.8529411764706,5.821090473848231,0.24480109135894215,0.029411764705882353,0.11764705882352941,0.2647058823529412,0.029411764705882353,0.023529411764705882,0.026470588235294114
