query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.061638111157542835,0.18595904722106144,0.2649394066025909,0.061638111157542835,0.04964479732553235,0.043021312160467326
1,+Eyeglasses,2196,0.10200364298724955,0.2736794171220401,0.377959927140255,0.10200364298724955,0.07723132969034599,0.06425318761384283
2,-Heavy_Makeup,4087,0.041595302177636406,0.12429655003670173,0.1977000244678248,0.041595302177636406,0.03014436016638144,0.026669929043307825
3,+Male,1595,0.007523510971786834,0.020689655172413793,0.03134796238244514,0.007523510971786834,0.005141065830721006,0.004514106583072096
4,-Young,5355,0.009337068160597572,0.03380018674136321,0.06181139122315593,0.009337068160597572,0.008366013071895434,0.008141923436041124
5,+Blond_Hair,5469,0.029804351801060523,0.1033095629914061,0.16255256902541598,0.029804351801060523,0.026842201499360074,0.024684585847503892
6,+Mustache,301,0.0664451827242525,0.19933554817275748,0.27906976744186046,0.0664451827242525,0.05182724252491692,0.0411960132890365
7,-Young,5355,0.009337068160597572,0.03380018674136321,0.06181139122315593,0.009337068160597572,0.008366013071895434,0.008141923436041124
8,"+Eyeglasses, +Smiling",612,0.049019607843137254,0.17973856209150327,0.2679738562091503,0.049019607843137254,0.04215686274509797,0.03464052287581703
9,"+Black_Hair, -Wavy_Hair",2572,0.017884914463452566,0.07542768273716952,0.13258164852255055,0.017884914463452566,0.017729393468118228,0.017846034214619062
10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0
11,"+Chubby, -Young",584,0.0017123287671232876,0.00684931506849315,0.011986301369863013,0.0017123287671232876,0.0013698630136986301,0.00136986301369863
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.08860759493670886,0.22784810126582278,0.3037974683544304,0.08860759493670886,0.06329113924050635,0.04556962025316457
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.08823529411764706,0.08823529411764706,0.0,0.017647058823529415,0.011764705882352941
