epoch,step,train_loss,bce,macro_accuracy,macro_precision,macro_recall,macro_f1,micro_accuracy
1,159,0.7610569701254742,0.3724748492240906,0.8216489553451538,0.49841707944869995,0.869154155254364,0.6043955087661743,0.8216489553451538
2,318,0.5235528469835438,0.325778067111969,0.8451892733573914,0.5413269996643066,0.8780773878097534,0.6425271034240723,0.8451892733573914
3,477,0.48986789752852244,0.32007986307144165,0.8471258878707886,0.546931266784668,0.8860458135604858,0.648436963558197,0.8471258878707886
4,636,0.47584759701722823,0.3133452534675598,0.8511991500854492,0.5524122714996338,0.886298656463623,0.653617262840271,0.851199209690094
5,795,0.46716419574599594,0.3083910644054413,0.8534377813339233,0.5568413138389587,0.8869973421096802,0.6577537655830383,0.8534378409385681
6,954,0.4608257516000256,0.3056354224681854,0.8548396229743958,0.5581454634666443,0.8893474340438843,0.65940260887146,0.8548396825790405
7,1113,0.45576097436670987,0.3030540347099304,0.8560792207717896,0.5610803365707397,0.888983428478241,0.6616381406784058,0.8560791611671448
8,1272,0.4512766378480683,0.3016711175441742,0.8570619821548462,0.5622241497039795,0.8888959884643555,0.6625785231590271,0.8570619821548462
