query_id,query,sources,avg_filtered_candidates_in_pool,pool_hit_rate,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.7983702465524446,0.4199749268700376,0.4199749268700376,0.4199749268700376,0.4199749268700376,0.4199749268700376,0.1511491851232773,0.07973255328040187
1,+Eyeglasses,2196,2.0163934426229506,0.7472677595628415,0.7472677595628415,0.7472677595628415,0.7472677595628415,0.7472677595628415,0.37495446265938165,0.20159380692167686
2,-Heavy_Makeup,4087,0.7700024467824811,0.45289943724002935,0.45289943724002935,0.45289943724002935,0.45289943724002935,0.45289943724002935,0.1515537068754584,0.07692684120381686
3,+Male,1595,1.8018808777429467,0.613166144200627,0.613166144200627,0.613166144200627,0.613166144200627,0.613166144200627,0.30206896551723955,0.17617554858934126
4,-Young,5355,0.8072829131652661,0.39813258636788046,0.39813258636788046,0.39813258636788046,0.39813258636788046,0.39813258636788046,0.15185807656396047,0.08042950513538846
5,+Blond_Hair,5469,1.1855915158164199,0.5359297860669227,0.5359297860669227,0.5359297860669227,0.5359297860669227,0.5359297860669227,0.22263667946608637,0.11801060522947793
6,+Mustache,301,1.3754152823920265,0.7308970099667774,0.7308970099667774,0.7308970099667774,0.7308970099667774,0.7308970099667774,0.27308970099667834,0.13754152823920296
7,-Young,5355,0.8072829131652661,0.39813258636788046,0.39813258636788046,0.39813258636788046,0.39813258636788046,0.39813258636788046,0.15185807656396047,0.08042950513538846
8,"+Eyeglasses, +Smiling",612,1.9820261437908497,0.7908496732026143,0.7908496732026143,0.7908496732026143,0.7908496732026143,0.7908496732026143,0.3781045751633984,0.1982026143790847
9,"+Black_Hair, -Wavy_Hair",2572,0.9665629860031104,0.5066096423017107,0.5066096423017107,0.5066096423017107,0.5066096423017107,0.5066096423017107,0.18856920684292153,0.09661741835147629
10,"-Male, -Mustache",27,0.6666666666666666,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.1333333333333334,0.0666666666666667
11,"+Chubby, -Young",584,1.0085616438356164,0.6643835616438356,0.6643835616438356,0.6643835616438356,0.6643835616438356,0.6643835616438356,0.2013698630136996,0.10085616438356212
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,2.670886075949367,0.8987341772151899,0.8987341772151899,0.8987341772151899,0.8987341772151899,0.8987341772151899,0.5291139240506328,0.26708860759493674
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.07058823529411765,0.03529411764705882
