query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,11.380484747179272,1.8202540429482044,0.32214102338497375,0.08754701211867948,0.25261178437108234,0.363769327204346,0.08754701211867948,0.06736314249895413,0.05781445883827757
1,+Eyeglasses,2196,21.778233151183972,1.784994595962125,0.07208567169717624,0.19899817850637522,0.511384335154827,0.6657559198542805,0.19899817850637522,0.16220400728597242,0.14380692167577386
2,-Heavy_Makeup,4087,12.700513824321018,1.7949012410496095,0.20199614359094945,0.06753119647663322,0.22118913628578418,0.31979447027159286,0.06753119647663322,0.053193051137753224,0.0452165402495709
3,+Male,1595,42.201880877742944,1.7709670198702179,0.5549930005188712,0.1329153605015674,0.3768025078369906,0.5147335423197492,0.1329153605015674,0.11799373040752321,0.11347962382445059
4,-Young,5355,13.430999066293184,1.7862712992759795,0.1782057972174561,0.06666666666666667,0.2246498599439776,0.326984126984127,0.06666666666666667,0.05942110177404195,0.05269841269841211
5,+Blond_Hair,5469,20.535746937282866,1.8206890208297928,0.11100861064191897,0.09453282135673798,0.29402084476138235,0.4291460961784604,0.09453282135673798,0.08027061620040045,0.07196928140427947
6,+Mustache,301,7.810631229235881,1.7939103100480152,0.03884836072650026,0.10963455149501661,0.33554817275747506,0.47840531561461797,0.10963455149501661,0.08704318936877066,0.07541528239202665
7,-Young,5355,13.430999066293184,1.7862712992759795,0.1782057972174561,0.06666666666666667,0.2246498599439776,0.326984126984127,0.06666666666666667,0.05942110177404195,0.05269841269841211
8,"+Eyeglasses, +Smiling",612,6.1683006535947715,1.8069564740634658,0.1981998117224684,0.184640522875817,0.4722222222222222,0.6029411764705882,0.184640522875817,0.14673202614379144,0.12058823529411783
9,"+Black_Hair, -Wavy_Hair",2572,19.246500777604975,1.811402939865795,0.2778269281206467,0.08670295489891135,0.2741057542768274,0.40902021772939345,0.08670295489891135,0.07099533437013965,0.06310264385691983
10,"-Male, -Mustache",27,6.148148148148148,1.918628732363383,0.6451797419124179,0.07407407407407407,0.25925925925925924,0.37037037037037035,0.07407407407407407,0.06666666666666667,0.051851851851851864
11,"+Chubby, -Young",584,5.845890410958904,1.7791196421573037,0.18268640856503657,0.14726027397260275,0.5068493150684932,0.636986301369863,0.14726027397260275,0.11986301369863073,0.08219178082191829
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,1.7848101265822784,1.8712467104196548,0.18549279806514582,0.20253164556962025,0.5822784810126582,0.7721518987341772,0.20253164556962025,0.19240506329113913,0.17088607594936703
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,2.1176470588235294,1.8932900547981262,0.2049512643367052,0.029411764705882353,0.058823529411764705,0.14705882352941177,0.029411764705882353,0.011764705882352941,0.014705882352941176
