query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method
0,+Smiling,4786,22.78395319682407,1.798013736608706,0.2941983004040021,0.0858754701211867,0.2521938988717092,0.3727538654408692,0.0858754701211867,0.0674049310488914,0.0592352695361464,A_cal_query_hardh2_accuracy
1,+Eyeglasses,2196,45.33697632058288,1.7527774963176477,0.1457645786469275,0.192167577413479,0.5132058287795993,0.6725865209471766,0.192167577413479,0.1664845173041875,0.1494990892531874,A_cal_query_hardh2_accuracy
2,-Heavy_Makeup,4087,29.23709322241253,1.7477495283777458,0.2006928194316657,0.0790310741375091,0.229018840225104,0.3344751651578174,0.0790310741375091,0.0567653535600678,0.0487643748470751,A_cal_query_hardh2_accuracy
3,+Male,1595,78.882131661442,1.726834445190029,0.38546652299892,0.1278996865203761,0.3630094043887147,0.4990595611285266,0.1278996865203761,0.1144827586206893,0.1077115987460806,A_cal_query_hardh2_accuracy
4,-Young,5355,23.46610644257703,1.7650159327420003,0.1347015748896412,0.0677871148459383,0.2233426704014939,0.3322128851540616,0.0677871148459383,0.0610644257703071,0.0549766573295982,A_cal_query_hardh2_accuracy
5,+Blond_Hair,5469,45.19948802340465,1.7745411968465032,0.0914175672785448,0.0916072408118486,0.2942036935454379,0.4302431888827939,0.0916072408118486,0.082611080636312,0.0754251234229301,A_cal_query_hardh2_accuracy
6,+Mustache,301,16.98671096345515,1.7770719597809506,0.0395619886193125,0.1229235880398671,0.3388704318936877,0.4983388704318937,0.1229235880398671,0.0870431893687706,0.0717607973421927,A_cal_query_hardh2_accuracy
7,-Young,5355,23.46610644257703,1.7650159327420003,0.1347015748896412,0.0677871148459383,0.2233426704014939,0.3322128851540616,0.0677871148459383,0.0610644257703071,0.0549766573295982,A_cal_query_hardh2_accuracy
8,"+Eyeglasses, +Smiling",612,13.062091503267974,1.7770631894883182,0.2175001600602021,0.2140522875816993,0.5555555555555556,0.7009803921568627,0.2140522875816993,0.1885620915032687,0.1571895424836601,A_cal_query_hardh2_accuracy
9,"+Black_Hair, -Wavy_Hair",2572,42.56687402799378,1.7567146134774525,0.2869826942350603,0.0843701399688958,0.291601866251944,0.4300155520995334,0.0843701399688958,0.0741835147744942,0.0699066874027985,A_cal_query_hardh2_accuracy
10,"-Male, -Mustache",27,21.14814814814815,1.926758066813151,0.7018432497978211,0.074074074074074,0.2222222222222222,0.2592592592592592,0.074074074074074,0.0592592592592592,0.0407407407407407,A_cal_query_hardh2_accuracy
11,"+Chubby, -Young",584,7.86986301369863,1.7472569577155574,0.1195900972872491,0.2089041095890411,0.583904109589041,0.7054794520547946,0.2089041095890411,0.1369863013698637,0.092465753424658,A_cal_query_hardh2_accuracy
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,5.10126582278481,1.82590884897444,0.227040989531411,0.2531645569620253,0.6962025316455697,0.8481012658227848,0.2531645569620253,0.2253164556962023,0.1936708860759493,A_cal_query_hardh2_accuracy
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,7.705882352941177,1.86124736815691,0.2242656401358544,0.0294117647058823,0.1176470588235294,0.2058823529411764,0.0294117647058823,0.0294117647058823,0.0235294117647058,A_cal_query_hardh2_accuracy
0,+Smiling,4786,3.188257417467614,1.8284989516685872,0.2900057524987837,0.0802340158796489,0.2417467613873798,0.3357709987463435,0.0802340158796489,0.0634768073547837,0.0523401587964887,A_cal_query_hardh2_balancedaccuracy
1,+Eyeglasses,2196,2.785974499089253,1.8211956085545,0.5267312388608951,0.1680327868852459,0.4430783242258652,0.5997267759562842,0.1680327868852459,0.1318761384335139,0.1154826958105631,A_cal_query_hardh2_balancedaccuracy
2,-Heavy_Makeup,4087,1.741130413506239,1.818858932660517,0.1559094314348912,0.0623929532664546,0.2040616589185221,0.2977734279422559,0.0623929532664546,0.0496696843650595,0.0422314656227053,A_cal_query_hardh2_balancedaccuracy
3,+Male,1595,3.448902821316614,1.8438379786497243,0.4676820996897352,0.1373040752351097,0.3347962382445141,0.4677115987460815,0.1373040752351097,0.111849529780564,0.1017554858934162,A_cal_query_hardh2_balancedaccuracy
4,-Young,5355,4.913165266106443,1.80388921662845,0.2484618957490084,0.0506069094304388,0.1723622782446311,0.2718954248366013,0.0506069094304388,0.0430625583566755,0.0401867413632111,A_cal_query_hardh2_balancedaccuracy
5,+Blond_Hair,5469,6.628999817151216,1.8464745071075008,0.3076435657319809,0.077710733223624,0.2466630096909855,0.3779484366428963,0.077710733223624,0.0661181203144985,0.0595721338453099,A_cal_query_hardh2_balancedaccuracy
6,+Mustache,301,5.495016611295681,1.7975310074977386,0.3515265930921603,0.0830564784053156,0.3056478405315614,0.4584717607973422,0.0830564784053156,0.0803986710963454,0.0691029900332225,A_cal_query_hardh2_balancedaccuracy
7,-Young,5355,4.913165266106443,1.80388921662845,0.2484618957490084,0.0506069094304388,0.1723622782446311,0.2718954248366013,0.0506069094304388,0.0430625583566755,0.0401867413632111,A_cal_query_hardh2_balancedaccuracy
8,"+Eyeglasses, +Smiling",612,0.8398692810457516,1.8841845713279863,0.4331096137563388,0.1601307189542483,0.4215686274509804,0.565359477124183,0.1601307189542483,0.12843137254902,0.1101307189542487,A_cal_query_hardh2_balancedaccuracy
9,"+Black_Hair, -Wavy_Hair",2572,3.3985225505443237,1.869817633257937,0.2951825426556244,0.0629860031104199,0.2006220839813375,0.3312597200622084,0.0629860031104199,0.0495334370139972,0.0471228615863137,A_cal_query_hardh2_balancedaccuracy
10,"-Male, -Mustache",27,0.2962962962962963,1.75,0.4689210057258606,0.074074074074074,0.2222222222222222,0.4444444444444444,0.074074074074074,0.0518518518518518,0.0518518518518518,A_cal_query_hardh2_balancedaccuracy
11,"+Chubby, -Young",584,1.7619863013698631,1.8260406352104024,0.3140365218228482,0.0650684931506849,0.2791095890410959,0.4366438356164384,0.0650684931506849,0.0647260273972602,0.0583904109589042,A_cal_query_hardh2_balancedaccuracy
