query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10
0,+Smiling,4786,0.050982030923526954,0.16673631424989552,0.24676138737985792,0.050982030923526954,0.042498955286251264,0.037672377768490826
1,+Eyeglasses,2196,0.07422586520947176,0.25136612021857924,0.36885245901639346,0.07422586520947176,0.06438979963570152,0.05701275045537292
2,-Heavy_Makeup,4087,0.03694641546366528,0.12160508930756056,0.19084903352092,0.03694641546366528,0.028529483728896722,0.02500611695620245
3,+Male,1595,0.007523510971786834,0.0219435736677116,0.03134796238244514,0.007523510971786834,0.0050156739811912255,0.004075235109717866
4,-Young,5355,0.014565826330532213,0.05266106442577031,0.09355742296918768,0.014565826330532213,0.012810457516339918,0.012661064425770358
5,+Blond_Hair,5469,0.03218138599378314,0.10769793380874017,0.17900895959041874,0.03218138599378314,0.0275370268787713,0.026074236606326223
6,+Mustache,301,0.07308970099667775,0.2026578073089701,0.28903654485049834,0.07308970099667775,0.054485049833887016,0.045514950166112914
7,-Young,5355,0.014565826330532213,0.05266106442577031,0.09355742296918768,0.014565826330532213,0.012810457516339918,0.012661064425770358
8,"+Eyeglasses, +Smiling",612,0.013071895424836602,0.08006535947712418,0.15196078431372548,0.013071895424836602,0.017320261437908487,0.01830065359477122
9,"+Black_Hair, -Wavy_Hair",2572,0.011275272161741835,0.05598755832037325,0.0890357698289269,0.011275272161741835,0.01360808709175737,0.012208398133748076
10,"-Male, -Mustache",27,0.0,0.0,0.0,0.0,0.0,0.0
11,"+Chubby, -Young",584,0.005136986301369863,0.032534246575342464,0.059931506849315065,0.005136986301369863,0.006849315068493152,0.007020547945205482
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.0,0.05063291139240506,0.17721518987341772,0.0,0.010126582278481013,0.017721518987341773
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0,0.058823529411764705,0.11764705882352941,0.0,0.011764705882352941,0.011764705882352941
