epoch,step,train_loss,bce,macro_accuracy,macro_precision,macro_recall,macro_f1,micro_accuracy
1,159,0.6077199432085145,0.32415562868118286,0.8454207181930542,0.5432061553001404,0.8810185194015503,0.643349826335907,0.845420777797699
2,318,0.47306955198072037,0.30986127257347107,0.8532931208610535,0.5554474592208862,0.8866734504699707,0.6559962034225464,0.8532931208610535
3,477,0.4567581006565934,0.2992993891239166,0.8586248159408569,0.563439130783081,0.886555552482605,0.6632434129714966,0.8586248755455017
4,636,0.44657379182629614,0.2961333394050598,0.8591597676277161,0.5666757822036743,0.889132022857666,0.6673734784126282,0.8591596484184265
5,795,0.43960895047247783,0.29534780979156494,0.8595007061958313,0.5672544240951538,0.891610324382782,0.6689063906669617,0.8595007061958313
6,954,0.4342166993228145,0.29194360971450806,0.8608509302139282,0.5690377950668335,0.8927749395370483,0.6712149977684021,0.8608509302139282
7,1113,0.42923694136757523,0.29180043935775757,0.8610118627548218,0.5709722638130188,0.8904687166213989,0.6704401969909668,0.8610119819641113
8,1272,0.42558482120621877,0.28896602988243103,0.8625320196151733,0.5723972916603088,0.8918423652648926,0.6738125681877136,0.8625320792198181
